Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-19 23:04:22,405.98015308380127,10,2,181.38000000000056,103.72971553169191,2617,0,107,107,30,35,0,1,63,62,0,102,5,4,164,12,5,0,400,559,615,421,12,2617,5,45,356,107,440,667,452,570,356,137
2024-09-19 23:04:22,414.08784103393555,10,3,125.31999999999803,97.09537624497898,2418,0,116,114,26,31,0,0,66,65,2,111,5,2,141,7,5,0,409,510,575,434,7,2418,5,52,238,116,459,590,459,542,238,135
2024-09-19 23:04:22,420.49247884750366,10,4,103.23999999999756,78.84826389921363,2008,1,105,105,20,29,0,0,71,69,0,99,6,13,135,7,6,0,314,348,414,361,6,2006,4,35,335,105,388,459,328,355,335,147
2024-09-19 23:04:22,429.17229199409485,10,9,156.31999999999928,107.97533132962417,2715,1,113,113,35,36,0,0,64,64,2,107,6,23,119,10,6,0,544,390,442,572,9,2713,4,46,539,113,591,468,575,403,539,143
2024-09-19 23:04:22,436.2567720413208,10,1,104.45999999999752,88.09772101603448,2266,2,79,80,19,27,0,0,48,48,1,77,5,5,145,7,5,0,432,353,319,433,6,2266,5,31,510,79,457,350,477,367,510,110
2024-09-19 23:04:22,442.95289182662964,10,3,134.77999999999938,75.01040698715951,2002,0,81,81,26,30,0,0,54,52,1,77,6,7,114,9,6,0,283,406,441,327,9,2000,4,28,354,81,345,490,291,425,354,101
2024-09-19 23:04:22,448.9099359512329,10,1,73.66000000000035,78.56413457728922,1904,2,81,81,20,26,0,0,60,59,1,75,7,3,90,5,7,0,293,360,317,305,5,1900,3,20,461,81,322,352,301,368,461,103
2024-09-19 23:04:22,455.19276881217957,10,13,101.23999999999961,87.77777553664055,2098,1,86,86,24,30,0,0,60,58,1,77,9,3,214,13,9,0,444,316,304,502,11,2090,1,26,233,86,516,405,476,369,233,100
2024-09-19 23:04:22,462.13610887527466,10,3,117.37999999999855,101.42884153244086,2325,0,90,87,25,34,0,0,61,61,1,82,6,2,142,7,6,0,420,484,490,432,4,2323,4,32,271,90,462,509,469,507,271,111
2024-09-19 23:04:22,467.8785288333893,10,18,115.05999999999761,76.67281445674598,1947,0,101,101,25,32,0,0,56,55,0,96,7,1,124,10,7,0,345,413,378,392,10,1943,3,41,197,101,403,403,377,445,197,125
